,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Cost Matrix(Risk)
514,no checking account,24,existing credits paid back duly till now,car (new),2255,no savings account,<1 years,4,male:single,none,1,savings agreement/life insurance,54,none,own,1,skilled employee / official,1,none,yes,Good Risk
515,<0 DM,6,critical account,car (new),609,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,3,savings agreement/life insurance,37,none,own,2,skilled employee / official,1,none,no,Good Risk
516,<0 DM,6,critical account,car (new),1361,<100 DM,<1 years,2,male:single,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,Good Risk
517,no checking account,36,critical account,furniture/equipment,7127,<100 DM,<1 years,2,female:divorced/separated/married,none,4,savings agreement/life insurance,23,none,rent,2,skilled employee / official,1,yes,yes,Bad Risk
518,<0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= <500 DM,>=7 years,3,male:single,none,2,savings agreement/life insurance,43,none,own,1,skilled employee / official,1,yes,yes,Good Risk
519,no checking account,6,critical account,radio/television,700,no savings account,>=7 years,4,male:single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,Good Risk
520,no checking account,24,critical account,repairs,5507,<100 DM,>=7 years,3,male:single,none,4,unknown / no property,44,none,for free,2,skilled employee / official,1,none,yes,Good Risk
521,<0 DM,18,existing credits paid back duly till now,radio/television,3190,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,Bad Risk
522,<0 DM,48,no credits taken,furniture/equipment,7119,<100 DM,1<= < 4 years,3,male:single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,Bad Risk
523,no checking account,24,existing credits paid back duly till now,car (used),3488,100 <= <500 DM,4<= <7 years,3,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee / official,1,none,yes,Good Risk
524,0 <= <200 DM,18,existing credits paid back duly till now,radio/television,1113,<100 DM,1<= < 4 years,4,female:divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2,none,yes,Good Risk
525,0 <= <200 DM,26,existing credits paid back duly till now,car (used),7966,<100 DM,<1 years,2,male:single,none,3,car or other,30,none,own,2,skilled employee / official,1,none,yes,Good Risk
526,no checking account,15,critical account,education,1532,100 <= <500 DM,1<= < 4 years,4,female:divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee / official,1,none,yes,Good Risk
527,no checking account,4,critical account,radio/television,1503,<100 DM,4<= <7 years,2,male:single,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,Good Risk
528,<0 DM,36,existing credits paid back duly till now,radio/television,2302,<100 DM,1<= < 4 years,4,male:divorced/separated,none,4,car or other,31,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
529,<0 DM,6,existing credits paid back duly till now,car (new),662,<100 DM,<1 years,3,male:single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,Good Risk
530,0 <= <200 DM,36,existing credits paid back duly till now,education,2273,<100 DM,4<= <7 years,3,male:single,none,1,car or other,32,none,own,2,skilled employee / official,2,none,yes,Good Risk
531,0 <= <200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= <500 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee / official,1,yes,yes,Bad Risk
532,no checking account,12,delay in paying off,car (used),1503,<100 DM,1<= < 4 years,4,male:married/widowed,none,4,real estate,41,none,rent,1,skilled employee / official,1,none,yes,Good Risk
533,no checking account,24,existing credits paid back duly till now,radio/television,1311,100 <= <500 DM,4<= <7 years,4,male:married/widowed,none,3,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,yes,yes,Good Risk
534,no checking account,24,existing credits paid back duly till now,radio/television,3105,no savings account,<1 years,4,male:single,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,Good Risk
535,>= 200 DM ,21,critical account,education,2319,<100 DM,<1 years,2,male:divorced/separated,none,1,car or other,33,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
536,<0 DM,6,existing credits paid back duly till now,car (new),1374,no savings account,unemployed,4,female:divorced/separated/married,none,3,savings agreement/life insurance,75,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
537,0 <= <200 DM,18,critical account,furniture/equipment,3612,<100 DM,>=7 years,3,female:divorced/separated/married,none,4,savings agreement/life insurance,37,none,own,1,skilled employee / official,1,yes,yes,Good Risk
538,<0 DM,48,existing credits paid back duly till now,car (new),7763,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,42,bank,for free,1,management/ highly qualified employee,1,none,yes,Bad Risk
539,>= 200 DM ,18,existing credits paid back duly till now,furniture/equipment,3049,<100 DM,<1 years,1,female:divorced/separated/married,none,1,savings agreement/life insurance,45,store,own,1,unskilled - resident,1,none,yes,Good Risk
540,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1534,<100 DM,<1 years,1,male:married/widowed,none,1,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
541,no checking account,24,delay in paying off,car (new),2032,<100 DM,>=7 years,4,male:single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,yes,yes,Good Risk
542,<0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,no savings account,>=7 years,4,male:single,none,4,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,none,yes,Bad Risk
543,>= 200 DM ,18,existing credits paid back duly till now,furniture/equipment,2864,<100 DM,1<= < 4 years,2,male:single,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,Bad Risk
544,no checking account,12,critical account,car (new),1255,<100 DM,>=7 years,4,male:single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,Good Risk
545,<0 DM,24,delay in paying off,car (new),1333,<100 DM,unemployed,4,male:single,none,2,real estate,43,none,for free,2,skilled employee / official,2,none,yes,Bad Risk
546,no checking account,24,critical account,car (new),2022,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee / official,1,yes,yes,Good Risk
547,no checking account,24,existing credits paid back duly till now,radio/television,1552,<100 DM,4<= <7 years,3,male:single,none,1,car or other,32,bank,own,1,skilled employee / official,2,none,yes,Good Risk
548,<0 DM,12,all credits at this bank paid back duly,radio/television,626,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,none,yes,Bad Risk
549,no checking account,48,critical account,car (used),8858,no savings account,4<= <7 years,2,male:single,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,yes,yes,Good Risk
550,no checking account,12,critical account,repairs,996,no savings account,4<= <7 years,4,female:divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,Good Risk
551,no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 <= < 1000 DM,>=7 years,2,male:single,none,4,savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,none,yes,Good Risk
552,<0 DM,48,existing credits paid back duly till now,radio/television,6999,<100 DM,4<= <7 years,1,male:married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee / official,1,yes,yes,Bad Risk
553,0 <= <200 DM,12,critical account,car (new),1995,100 <= <500 DM,<1 years,4,male:single,none,1,car or other,27,none,own,1,skilled employee / official,1,none,yes,Good Risk
554,0 <= <200 DM,9,existing credits paid back duly till now,education,1199,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,67,none,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
555,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1331,<100 DM,<1 years,2,male:single,none,1,car or other,22,store,own,1,skilled employee / official,1,none,yes,Bad Risk
556,0 <= <200 DM,18,no credits taken,car (new),2278,100 <= <500 DM,<1 years,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee / official,1,none,yes,Bad Risk
557,no checking account,21,no credits taken,car (new),5003,no savings account,1<= < 4 years,1,female:divorced/separated/married,none,4,savings agreement/life insurance,29,bank,own,2,skilled employee / official,1,yes,yes,Bad Risk
558,<0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,<100 DM,4<= <7 years,3,male:single,none,4,car or other,27,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
559,0 <= <200 DM,18,critical account,furniture/equipment,1928,<100 DM,<1 years,2,male:single,none,2,real estate,31,none,own,2,unskilled - resident,1,none,yes,Bad Risk
560,<0 DM,24,existing credits paid back duly till now,car (used),2964,no savings account,>=7 years,4,male:single,none,4,unknown / no property,49,bank,for free,1,skilled employee / official,2,yes,yes,Good Risk
561,<0 DM,24,all credits at this bank paid back duly,radio/television,1546,<100 DM,4<= <7 years,4,male:single,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,none,yes,Bad Risk
562,>= 200 DM ,6,delay in paying off,radio/television,683,<100 DM,<1 years,2,female:divorced/separated/married,none,1,savings agreement/life insurance,29,bank,own,1,skilled employee / official,1,none,yes,Good Risk
563,0 <= <200 DM,36,existing credits paid back duly till now,car (new),12389,no savings account,1<= < 4 years,1,male:single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1,yes,yes,Bad Risk
564,0 <= <200 DM,24,delay in paying off,business,4712,no savings account,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,37,bank,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
565,0 <= <200 DM,24,delay in paying off,radio/television,1553,100 <= <500 DM,4<= <7 years,3,female:divorced/separated/married,none,2,savings agreement/life insurance,23,none,rent,2,skilled employee / official,1,yes,yes,Good Risk
566,<0 DM,12,existing credits paid back duly till now,car (new),1372,<100 DM,4<= <7 years,2,male:divorced/separated,none,3,car or other,36,none,own,1,skilled employee / official,1,none,yes,Bad Risk
567,no checking account,24,critical account,radio/television,2578,>= 1000 DM,>=7 years,2,male:single,none,2,car or other,34,none,own,1,skilled employee / official,1,none,yes,Good Risk
568,0 <= <200 DM,48,existing credits paid back duly till now,radio/television,3979,no savings account,4<= <7 years,4,male:single,none,1,car or other,41,none,own,2,skilled employee / official,2,yes,yes,Good Risk
569,<0 DM,48,existing credits paid back duly till now,radio/television,6758,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee / official,1,yes,yes,Bad Risk
570,<0 DM,24,existing credits paid back duly till now,furniture/equipment,3234,<100 DM,<1 years,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,Bad Risk
571,no checking account,30,critical account,radio/television,5954,<100 DM,4<= <7 years,3,male:single,co-applicant,2,car or other,38,none,own,1,skilled employee / official,1,none,yes,Good Risk
572,no checking account,24,existing credits paid back duly till now,car (used),5433,no savings account,unemployed,2,female:divorced/separated/married,none,4,savings agreement/life insurance,26,none,rent,1,management/ highly qualified employee,1,yes,yes,Good Risk
573,<0 DM,15,existing credits paid back duly till now,business,806,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,4,savings agreement/life insurance,22,none,own,1,unskilled - resident,1,none,yes,Good Risk
574,0 <= <200 DM,9,existing credits paid back duly till now,radio/television,1082,<100 DM,>=7 years,4,male:single,none,4,car or other,27,none,own,2,unskilled - resident,1,none,yes,Good Risk
575,no checking account,15,critical account,furniture/equipment,2788,<100 DM,4<= <7 years,2,female:divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee / official,1,none,yes,Good Risk
576,0 <= <200 DM,12,existing credits paid back duly till now,radio/television,2930,<100 DM,4<= <7 years,2,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,Good Risk
577,no checking account,24,critical account,education,1927,no savings account,1<= < 4 years,3,female:divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee / official,1,yes,yes,Good Risk
578,0 <= <200 DM,36,critical account,car (new),2820,<100 DM,<1 years,4,male:divorced/separated,none,4,car or other,27,none,own,2,skilled employee / official,1,none,yes,Bad Risk
579,no checking account,24,existing credits paid back duly till now,retraining,937,<100 DM,<1 years,4,male:married/widowed,none,3,car or other,27,none,own,2,unskilled - resident,1,none,yes,Good Risk
580,0 <= <200 DM,18,critical account,car (new),1056,<100 DM,>=7 years,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled employee / official,1,none,yes,Bad Risk
581,0 <= <200 DM,12,critical account,car (new),3124,<100 DM,<1 years,1,male:single,none,3,real estate,49,bank,own,2,unskilled - resident,2,none,yes,Good Risk
582,no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee / official,1,none,yes,Good Risk
583,0 <= <200 DM,36,existing credits paid back duly till now,repairs,2384,<100 DM,<1 years,4,male:single,none,1,unknown / no property,33,none,rent,1,unskilled - resident,1,none,yes,Bad Risk
584,no checking account,12,existing credits paid back duly till now,car (new),2133,no savings account,>=7 years,4,female:divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
585,<0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,<100 DM,1<= < 4 years,1,female:divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee / official,1,none,yes,Bad Risk
586,<0 DM,9,critical account,car (new),2799,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,36,none,rent,2,skilled employee / official,2,none,yes,Good Risk
587,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,<100 DM,1<= < 4 years,4,male:single,guarantor,1,savings agreement/life insurance,21,none,own,1,unskilled - resident,1,none,yes,Good Risk
588,<0 DM,18,existing credits paid back duly till now,domestic appliances,1217,<100 DM,1<= < 4 years,4,male:married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,Bad Risk
589,<0 DM,12,critical account,furniture/equipment,2246,<100 DM,>=7 years,3,male:single,none,3,savings agreement/life insurance,60,none,own,2,skilled employee / official,1,none,yes,Bad Risk
590,<0 DM,12,critical account,radio/television,385,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,Good Risk
591,0 <= <200 DM,24,delay in paying off,car (new),1965,no savings account,1<= < 4 years,4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee / official,1,yes,yes,Good Risk
592,no checking account,21,existing credits paid back duly till now,business,1572,>= 1000 DM,>=7 years,4,female:divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,none,yes,Good Risk
593,0 <= <200 DM,24,existing credits paid back duly till now,car (new),2718,<100 DM,1<= < 4 years,3,female:divorced/separated/married,none,4,savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,Bad Risk
594,<0 DM,24,all credits at this bank paid back duly,others,1358,no savings account,>=7 years,4,male:single,none,3,car or other,40,store,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
595,0 <= <200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= <500 DM,<1 years,1,female:divorced/separated/married,none,1,savings agreement/life insurance,32,store,own,1,unskilled - resident,1,none,yes,Bad Risk
596,<0 DM,24,existing credits paid back duly till now,car (new),1442,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
597,0 <= <200 DM,24,no credits taken,business,4241,<100 DM,1<= < 4 years,1,male:single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,Bad Risk
598,no checking account,18,critical account,car (new),2775,<100 DM,4<= <7 years,2,male:single,none,2,savings agreement/life insurance,31,bank,own,2,skilled employee / official,1,none,yes,Bad Risk
599,no checking account,24,delay in paying off,business,3863,<100 DM,1<= < 4 years,1,male:single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes,Good Risk
600,0 <= <200 DM,7,existing credits paid back duly till now,radio/television,2329,<100 DM,<1 years,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,Good Risk
601,0 <= <200 DM,9,existing credits paid back duly till now,furniture/equipment,918,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,1,savings agreement/life insurance,30,none,own,1,skilled employee / official,1,none,yes,Bad Risk
602,0 <= <200 DM,24,all credits at this bank paid back duly,education,1837,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes,Bad Risk
603,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,<100 DM,1<= < 4 years,4,female:divorced/separated/married,none,2,car or other,28,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
604,>= 200 DM ,10,existing credits paid back duly till now,furniture/equipment,1275,<100 DM,<1 years,4,female:divorced/separated/married,none,2,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,Good Risk
605,<0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,500 <= < 1000 DM,1<= < 4 years,4,male:single,none,4,real estate,22,store,own,1,skilled employee / official,1,yes,yes,Good Risk
606,no checking account,24,critical account,business,4526,<100 DM,1<= < 4 years,3,male:single,none,2,real estate,74,none,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
607,0 <= <200 DM,36,existing credits paid back duly till now,radio/television,2671,100 <= <500 DM,1<= < 4 years,4,female:divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes,Bad Risk
608,no checking account,18,existing credits paid back duly till now,radio/television,2051,<100 DM,<1 years,4,male:single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes,Good Risk
609,no checking account,15,existing credits paid back duly till now,car (used),1300,no savings account,>=7 years,4,male:single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes,Good Risk
610,<0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= <500 DM,unemployed,4,female:divorced/separated/married,none,3,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,Bad Risk
611,>= 200 DM ,10,existing credits paid back duly till now,car (new),1240,100 <= <500 DM,>=7 years,1,female:divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes,Bad Risk
612,<0 DM,21,existing credits paid back duly till now,radio/television,3357,>= 1000 DM,<1 years,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,Good Risk
613,<0 DM,24,all credits at this bank paid back duly,car (used),3632,<100 DM,1<= < 4 years,1,female:divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee / official,1,none,no,Good Risk
614,no checking account,18,delay in paying off,furniture/equipment,1808,<100 DM,4<= <7 years,4,female:divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,Bad Risk
615,0 <= <200 DM,48,no credits taken,business,12204,no savings account,1<= < 4 years,2,male:single,none,2,car or other,48,bank,own,1,management/ highly qualified employee,1,yes,yes,Good Risk
616,0 <= <200 DM,60,delay in paying off,radio/television,9157,no savings account,1<= < 4 years,2,male:single,none,2,unknown / no property,27,none,for free,1,management/ highly qualified employee,1,none,yes,Good Risk
617,<0 DM,6,critical account,car (new),3676,<100 DM,1<= < 4 years,1,male:single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,Good Risk
618,0 <= <200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 <= <500 DM,1<= < 4 years,2,female:divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee / official,1,none,yes,Bad Risk
619,no checking account,12,existing credits paid back duly till now,car (new),640,<100 DM,1<= < 4 years,4,male:divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes,Good Risk
620,0 <= <200 DM,21,critical account,business,3652,<100 DM,4<= <7 years,2,male:single,none,3,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,Good Risk
621,no checking account,18,critical account,car (new),1530,<100 DM,1<= < 4 years,3,male:single,none,2,savings agreement/life insurance,32,bank,own,2,skilled employee / official,1,none,yes,Bad Risk
622,no checking account,48,existing credits paid back duly till now,business,3914,no savings account,1<= < 4 years,4,male:divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
623,<0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,<100 DM,<1 years,4,female:divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee / official,1,none,yes,Good Risk
624,<0 DM,18,existing credits paid back duly till now,radio/television,2600,<100 DM,1<= < 4 years,4,male:single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes,Bad Risk
625,no checking account,15,existing credits paid back duly till now,radio/television,1979,no savings account,>=7 years,4,male:single,none,2,car or other,35,none,own,1,skilled employee / official,1,none,yes,Good Risk
626,>= 200 DM ,6,existing credits paid back duly till now,furniture/equipment,2116,<100 DM,1<= < 4 years,2,male:single,none,2,real estate,41,none,own,1,skilled employee / official,1,yes,yes,Good Risk
627,0 <= <200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= <500 DM,4<= <7 years,2,male:single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes,Bad Risk
628,no checking account,42,critical account,furniture/equipment,4042,500 <= < 1000 DM,1<= < 4 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee / official,1,yes,yes,Good Risk
629,no checking account,9,existing credits paid back duly till now,education,3832,no savings account,>=7 years,1,male:single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes,Good Risk
630,<0 DM,24,existing credits paid back duly till now,radio/television,3660,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
631,<0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,<100 DM,1<= < 4 years,4,male:single,none,3,car or other,44,bank,own,1,skilled employee / official,1,none,yes,Bad Risk
632,0 <= <200 DM,15,existing credits paid back duly till now,radio/television,1444,no savings account,<1 years,4,male:single,none,1,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,Good Risk
633,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,<100 DM,<1 years,2,female:divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee / official,1,none,yes,Bad Risk
634,0 <= <200 DM,24,existing credits paid back duly till now,car (new),1355,<100 DM,<1 years,3,female:divorced/separated/married,none,4,car or other,25,none,own,1,unskilled - resident,1,yes,yes,Bad Risk
635,no checking account,12,existing credits paid back duly till now,education,1393,<100 DM,>=7 years,4,male:single,none,4,savings agreement/life insurance,47,bank,own,3,skilled employee / official,2,yes,yes,Good Risk
636,no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= < 1000 DM,4<= <7 years,4,female:divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee / official,1,none,yes,Good Risk
637,no checking account,60,delay in paying off,radio/television,15653,<100 DM,4<= <7 years,2,male:single,none,4,car or other,21,none,own,2,skilled employee / official,1,yes,yes,Good Risk
638,no checking account,12,existing credits paid back duly till now,radio/television,1493,<100 DM,<1 years,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee / official,2,none,yes,Good Risk
639,<0 DM,42,delay in paying off,radio/television,4370,<100 DM,4<= <7 years,3,male:single,none,2,savings agreement/life insurance,26,bank,own,2,skilled employee / official,2,yes,yes,Bad Risk
640,<0 DM,18,existing credits paid back duly till now,education,750,<100 DM,unemployed,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,Bad Risk
641,0 <= <200 DM,15,existing credits paid back duly till now,repairs,1308,<100 DM,>=7 years,4,male:single,none,4,car or other,38,none,own,2,unskilled - resident,1,none,yes,Good Risk
642,no checking account,15,existing credits paid back duly till now,education,4623,100 <= <500 DM,1<= < 4 years,3,male:single,none,2,savings agreement/life insurance,40,none,own,1,management/ highly qualified employee,1,yes,yes,Bad Risk
643,no checking account,24,critical account,radio/television,1851,<100 DM,4<= <7 years,4,male:married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee / official,1,yes,yes,Good Risk
644,<0 DM,18,critical account,radio/television,1880,<100 DM,4<= <7 years,4,male:married/widowed,none,1,savings agreement/life insurance,32,none,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
645,no checking account,36,delay in paying off,business,7980,no savings account,<1 years,4,male:single,none,4,car or other,27,none,rent,2,skilled employee / official,1,yes,yes,Bad Risk
646,<0 DM,30,no credits taken,furniture/equipment,4583,<100 DM,1<= < 4 years,2,male:divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee / official,1,none,yes,Good Risk
647,no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= < 1000 DM,1<= < 4 years,2,female:divorced/separated/married,none,2,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,none,yes,Bad Risk
648,>= 200 DM ,24,existing credits paid back duly till now,car (new),947,<100 DM,4<= <7 years,4,male:single,none,3,unknown / no property,38,bank,for free,1,skilled employee / official,2,none,yes,Bad Risk
649,<0 DM,12,existing credits paid back duly till now,education,684,<100 DM,1<= < 4 years,4,male:single,none,4,car or other,40,none,rent,1,unskilled - resident,2,none,yes,Bad Risk
650,<0 DM,48,existing credits paid back duly till now,education,7476,<100 DM,4<= <7 years,4,male:single,none,1,unknown / no property,50,none,for free,1,management/ highly qualified employee,1,yes,yes,Good Risk
651,0 <= <200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,<100 DM,1<= < 4 years,4,male:single,none,2,savings agreement/life insurance,37,none,own,1,unskilled - resident,1,none,yes,Bad Risk
652,<0 DM,24,existing credits paid back duly till now,car (new),2303,<100 DM,>=7 years,4,male:single,co-applicant,1,real estate,45,none,own,1,skilled employee / official,1,none,yes,Bad Risk
653,0 <= <200 DM,36,delay in paying off,car (new),8086,100 <= <500 DM,>=7 years,2,male:single,none,4,car or other,42,none,own,4,management/ highly qualified employee,1,yes,yes,Bad Risk
654,no checking account,24,critical account,car (used),2346,<100 DM,4<= <7 years,4,male:single,none,3,car or other,35,none,own,2,skilled employee / official,1,yes,yes,Good Risk
655,<0 DM,14,existing credits paid back duly till now,car (new),3973,<100 DM,unemployed,1,male:single,none,4,unknown / no property,22,none,for free,1,skilled employee / official,1,none,yes,Good Risk
656,0 <= <200 DM,12,existing credits paid back duly till now,car (new),888,<100 DM,>=7 years,4,male:single,none,4,car or other,41,bank,own,1,unskilled - resident,2,none,yes,Bad Risk
657,no checking account,48,existing credits paid back duly till now,radio/television,10222,no savings account,4<= <7 years,4,male:single,none,3,car or other,37,store,own,1,skilled employee / official,1,yes,yes,Good Risk
658,0 <= <200 DM,30,no credits taken,business,4221,<100 DM,1<= < 4 years,2,female:divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee / official,1,none,yes,Good Risk
659,0 <= <200 DM,18,critical account,furniture/equipment,6361,<100 DM,>=7 years,2,male:single,none,1,unknown / no property,41,none,own,1,skilled employee / official,1,yes,yes,Good Risk
660,>= 200 DM ,12,existing credits paid back duly till now,radio/television,1297,<100 DM,1<= < 4 years,3,male:married/widowed,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,Good Risk
661,<0 DM,12,existing credits paid back duly till now,car (new),900,no savings account,1<= < 4 years,4,male:married/widowed,none,2,car or other,23,none,own,1,skilled employee / official,1,none,yes,Bad Risk
662,no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,<100 DM,>=7 years,4,male:single,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,Good Risk
663,0 <= <200 DM,6,delay in paying off,furniture/equipment,1050,<100 DM,unemployed,4,male:single,none,1,savings agreement/life insurance,35,store,own,2,management/ highly qualified employee,1,yes,yes,Good Risk
